nl,nl type,chart,table name,database,label,column,filter,aggregate,mark,encoding,sort
What does the composition of faculty members look like based on their roles?,abstract,Pie,Faculty,activity_1,mark arc data faculty encoding x rank y aggregate count rank transform group x,Rank,none,count Rank,arc,"x=Rank,y=count Rank,color=none,size=none",none
Can you give me a chart for the assistant professors based on their gender?,abstract,Bar,Faculty,activity_1,mark bar data faculty encoding x sex y aggregate count sex transform filter rank = "asstprof" group x ,"Sex,Rank",Rank = "AsstProf",count Sex,bar,"x=Sex,y=count Sex,color=none,size=none",none
I need a chart that gives an overview of the gender and rank composition of the faculty.,abstract,Stacked Bar,Faculty,activity_1,mark bar data faculty encoding x rank y aggregate count rank color sex transform group x,"Rank,Sex",none,count Rank,bar,"x=Rank,y=count Rank,color=Sex,size=none",none
What's the variety of aircraft descriptions?,abstract,Pie,aircraft,aircraft,mark arc data aircraft encoding x description y aggregate count description transform group x,Description,none,count Description,arc,"x=Description,y=count Description,color=none,size=none",none
What are the descriptions of the aircraft and how many of each type are there?,abstract,Bar,aircraft,aircraft,mark bar data aircraft encoding x description y aggregate count description transform group x sort x asc,Description,none,count Description,bar,"x=Description,y=count Description,color=none,size=none",x asc
Show me how many female students are not majoring in 600 and are older than 18 based on their first names.,abstract,Bar,Student,restaurant_1,mark bar data student encoding x fname y aggregate count fname transform filter age > 18 and major != 600 and sex = 'f' group x ,"Fname,Age,Major,Sex",Age > 18 and Major != 600 and Sex = 'F',count Fname,bar,"x=Fname,y=count Fname,color=none,size=none",none
What's the distribution of female students based on last name?,abstract,Bar,Student,allergy_1,mark bar data student encoding x lname y aggregate count lname transform filter sex = 'f' group x,"LName,Sex",Sex = 'F',count LName,bar,"x=LName,y=count LName,color=none,size=none",none
Show me the distribution of first names of female students who are older than 18 and not majoring in 600.,abstract,Pie,Student,restaurant_1,mark arc data student encoding x fname y aggregate count fname transform filter age > 18 and major != 600 and sex = 'f' group x,"Fname,Age,Major,Sex",Age > 18 and Major != 600 and Sex = 'F',count Fname,arc,"x=Fname,y=count Fname,color=none,size=none",none
"Give me a picture of how many allergies are in each category, with the most popular types at the top. ",abstract,Bar,Allergy_type,allergy_1,mark bar data allergy_type encoding x allergytype y aggregate count allergytype transform group x sort y desc,AllergyType,none,count AllergyType,bar,"x=AllergyType,y=count AllergyType,color=none,size=none",y desc
Chart the types of allergies and how many there are.,abstract,Bar,Allergy_type,allergy_1,mark bar data allergy_type encoding x allergytype y aggregate count allergytype transform group x,AllergyType,none,count AllergyType,bar,"x=AllergyType,y=count AllergyType,color=none,size=none",none
Give me an idea of how different types of allergies are distributed.,abstract,Pie,Allergy_type,allergy_1,mark arc data allergy_type encoding x allergytype y aggregate count allergytype transform group x,AllergyType,none,count AllergyType,arc,"x=AllergyType,y=count AllergyType,color=none,size=none",none
Group apartments by type,abstract,Pie,Apartments,apartment_rentals,mark arc data apartments encoding x apt_type_code y aggregate count apt_type_code transform group x ,apt_type_code,none,count apt_type_code,arc,"x=apt_type_code,y=count apt_type_code,color=none,size=none",none
How are apartments grouped?,abstract,Pie,Apartments,apartment_rentals,mark arc data apartments encoding x apt_type_code y aggregate count apt_type_code transform group x ,apt_type_code,none,count apt_type_code,arc,"x=apt_type_code,y=count apt_type_code,color=none,size=none",none
